"ko","outdegree","n_sig","all_inside","frac_targets_sig","network","col"
"GPNMB",774,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GPRIN3",736,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GRAMD1B",768,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GRB2",745,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GRID2",760,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GRK3",724,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GSAP",694,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GSK3B",734,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GSN",754,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GTDC1",770,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"H2AFY",759,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HCLS1",634,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HDAC8",513,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HDAC9",773,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HELZ",725,2,TRUE,0.00137931034482759,"MS microglia, control net","#1f6fb4"
"HERC1",616,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HERC4",578,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HIF1A",792,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HIST1H2AC",791,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HIVEP3",786,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HLA-DRA",781,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HLA-DRB1",696,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HNRNPA2B1",748,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HNRNPC",701,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HNRNPU",768,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HS3ST4",767,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"HSP90AA1",713,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IFI16",763,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IFI44L",745,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IFNGR1",784,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IFNGR2",734,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IGF1R",735,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IGSF21",789,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IKZF1",785,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IL10RA",753,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IL13RA1",771,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IL6ST",742,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IMMP2L",692,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"INPP4A",778,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"INPP5D",773,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IPCEF1",779,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IQCJ-SCHIP1",571,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IQGAP2",751,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IRAK3",715,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IRF8",768,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"IRS2",744,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ITFG1",699,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ITGAV",773,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ITGAX",751,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ITM2B",778,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ITPR1",689,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ITPR2",781,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ITSN2",714,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"JAK1",749,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"JAK2",356,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"JARID2",734,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"JAZF1",775,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"JMJD1C",745,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KANSL1",769,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KAT6A",729,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KCNIP1",762,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KCNK13",760,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KCNMA1",774,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KCNQ3",767,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KCTD12",780,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KDM2A",646,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KDM4C",747,2,TRUE,0.00133868808567604,"MS microglia, control net","#1f6fb4"
"KDM6A",194,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KHDRBS3",715,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KIAA1109",681,2,TRUE,0.00146842878120411,"MS microglia, control net","#1f6fb4"
"KIF16B",468,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KLHL6",762,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KMT2C",741,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KMT2E",496,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"KYNU",752,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"L3MBTL4",723,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"LAPTM5",744,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"LCOR",729,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"LCORL",635,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"LDLRAD4",787,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"LHFPL2",782,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"LIMS1",640,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"LINC00278",776,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"LINC01091",778,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"LINC01374",672,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"LINC01473",742,1,TRUE,0,"MS microglia, control net","#1f6fb4"
